Elo	Username	W	L	T	Last Update
1438	jamira!?	85	23	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1356	brain team	29	5	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1299	GrtingsTrvelr	37	6	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1291	g-luke	27	7	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1278	Alee C	23	4	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1278	Baseballed!	27	9	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1267	samsung television	14	1	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1258	Carls Junior's	18	11	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1257	Chinozo	13	4	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1251	zxgzxg	21	9	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1249	TheZilla07	10	2	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1249	Hffbhdc	11	0	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1248	Orangesodapop	11	3	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1247	jorts jorts jorts	13	9	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1246	mgg65	10	3	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1244	Zanyte1207	35	19	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1243	No1CelestiaKinnie	17	10	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1242	Slopandslimeher	13	5	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1240	turnyacc	60	47	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1239	LeaderBelle	15	4	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1237	Eedfgyy	10	3	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1232	dushn je dusan	14	8	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1222	wish o will	16	6	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1221	pontiffy	10	3	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1217	SickleNickle	7	1	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1216	DenebStargazer	14	9	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1214	hydripple	8	11	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1213	Lunastra_sucks	12	4	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1212	Dat boi169	25	19	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1211	PokemonFa123	18	15	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1211	ether21	20	19	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1210	epic regi moment	9	2	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1209	Magatsu(S.Bisharp)	8	1	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1208	Spear Hero	10	2	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1205	joshsshadow	18	15	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1205	Quality Pints	9	7	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1198	Gekokeso	16	10	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1197	zozo	6	1	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1196	bdprescott	7	2	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1193	Jmittch252	26	29	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1190	naytea	7	8	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1188	terapagosb	20	14	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1188	Pechover	5	3	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1188	JimCool	5	2	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1188	IronOat	7	4	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1185	Captain Snowy	8	7	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1185	Speny	10	7	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1182	Angel_9545	12	11	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1182	KitsuneNoble	11	5	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1179	Afox4567	28	17	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1179	yuunfei	11	11	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1176	tumaiencuatro	5	3	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1174	Dat guy 234	6	4	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1174	SpiderPlayer	14	10	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1172	ahuramazda2	12	17	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1172	jagerno	6	5	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1171	Deviation395	9	7	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1169	Jdjejrhfh	5	2	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1168	eusocial	4	1	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1168	TheRealHittite	5	0	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1165	RadDudesman	4	6	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1165	kassieprince051	4	1	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1163	ShadowManOrNot123	8	7	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1162	Gymia	5	2	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
1162	RU WAS SPEED	24	30	0	Sat Sep 7 2024 1:36:04 GMT-0400 (Eastern Daylight Time)
