Beatbeak	| pridesnake
Bisonia		| mystora
Bonevoyage	| mfwr
Breakerk	| ._._.victor
Bristan		| mfwr & mystora
Bristletails	| kherx
Brokeller	| _testrun_ & mystora
Catotoca	| pridesnake
Catscan		| elmerengues & ._._.victor
Cloread		| kherx
Coldstan	| pridesnake
Coratack	| elmerengues
Durophelon	| pridesnake
Entombis	| mfwr
Flabber		| kherx & mystora
Florasol	| ._._.victor
Frozapup	| pridesnake
Glideon		| pridesnake
Hemiluca	| hami3565
Hopeeve		| ._._.victor
Jaxxit (F)	| ._._.victor
Jaxxit (M)	| kherx & mystora
Jerry		| mystora & ._._.victor
Knauty		| mfwr
Knauty (alt)	| mfwr
Knucklesmon	| mystora
Krakenwagen	| elmerengues & mystora & ._._.victor
Lastemy		| mystora & ._._.victor
Listeria	| kherx
Mamoss		| pridesnake
Markseye	| elmerengues
Meeble		| pridesnake
Mindefull	| ._._.victor
Murphy		| elmerengues & ._._.victor
Naftleach	| kherx
Neuroptera	| mystora
Obserk		| pridesnake
Ocellus		| pridesnake
Ohwowadsdis	| pridesnake
Pararaptor	| mystora
Phaux		| kherx & mystora
Pimpimpom	| pridesnake
Protent		| mystora & ._._.victor
Raidplank	| kherx
Rehetid		| mystora
Refrigid	| mystora
Rubbaduck	| ._._.victor
Sandireign	| pridesnake & iime
Scrumptush	| kherx & mystora
Shimmship	| mfwr
Silkypus	| ._._.victor
Slum		| mfwr
Slumptosh	| kherx & mystora
Snappybara	| malxire
Stalswarm	| ._._.victor
Teroreligiosa	| elmerengues & mystora
Terrabyte	| mfwr
The Oiler	| ._._.victor
Tikismiki	| pridesnake
Trenchbot	| mystora & ._._.victor
Trevore		| kherx
Tristan		| mystora
Truckstop	| mystora
Velocirador	| hami3565
Walkasong	| pridesnake
Weedhut		| mystora
Weggle		| iime
Yolkster	| pridesnake
